PUBID,wage,numChildren,age,educ,experience,tenure,marstat,fullTime,y2009
1024,14,0,23,4.College,6.064516129,0.115384615,No romantic union,TRUE,0
1024,26.04,0,28,4.College,10.93548387,1.365384615,No romantic union,TRUE,1
1040,13,1,23,2.High school,12.61290323,3.038461538,No romantic union,TRUE,0
1040,17.01,2,27,3.Some college,19.96774194,0.461538462,No romantic union,TRUE,1
1042,7.65,0,22,2.High school,3.838709677,0.230769231,No romantic union,TRUE,0
1042,10.5,0,27,2.High school,10.58064516,0.903846154,No romantic union,TRUE,1
1048,8,0,21,2.High school,7.774193548,4.230769231,No romantic union,FALSE,0
1048,8.75,1,26,2.High school,15.83870968,0.557692308,No romantic union,FALSE,1
1050,9.75,1,28,2.High school,13.16129032,7.846153846,No romantic union,TRUE,1
1082,10,0,22,2.High school,5.548387097,0.192307692,No romantic union,TRUE,0
1087,12.5,0,23,4.College,7.677419355,0.326923077,No romantic union,TRUE,0
1087,20.39,1,28,4.College,15.22580645,2.942307692,Married,TRUE,1
1092,6.5,0,21,3.Some college,7.032258065,0.211538462,No romantic union,FALSE,0
1092,29.33,0,26,4.College,15.03225806,1.019230769,Cohabiting,TRUE,1
1102,7.5,0,20,1.Less than HS,2.451612903,0.769230769,No romantic union,TRUE,0
1102,11.5,1,25,1.Less than HS,6.741935484,0.307692308,No romantic union,TRUE,1
1103,7,0,20,2.High school,3.129032258,0.365384615,No romantic union,TRUE,0
1103,10.27,1,24,2.High school,9.677419355,1.730769231,No romantic union,TRUE,1
1104,15.38,1,28,2.High school,15.77419355,7.826923077,Married,FALSE,1
1109,8.75,0,20,2.High school,4.709677419,0.211538462,No romantic union,FALSE,0
1109,22.12,0,25,4.College,12.4516129,3.519230769,No romantic union,TRUE,1
1116,2.38,0,21,2.High school,NA,1.442307692,No romantic union,TRUE,0
1116,26.34,0,26,4.College,NA,4.25,Married,TRUE,1
1121,13,0,20,2.High school,4.161290323,0.538461538,No romantic union,TRUE,0
1127,9,1,22,2.High school,8.322580645,0.865384615,No romantic union,TRUE,0
1143,24.81,1,22,2.High school,10.12903226,1.461538462,No romantic union,FALSE,0
1143,28.9,2,27,3.Some college,14.96774194,1.653846154,No romantic union,FALSE,1
1146,2.11,0,20,2.High school,4.903225806,0.230769231,No romantic union,FALSE,0
1146,15,0,24,4.College,12.61290323,1.5,Cohabiting,TRUE,1
1148,12.5,0,23,2.High school,11.32258065,4.5,No romantic union,TRUE,0
1148,15,1,28,2.High school,19.38709677,1.711538462,Cohabiting,TRUE,1
1149,7.25,0,21,2.High school,6.838709677,0.134615385,No romantic union,FALSE,0
1149,45.67,0,26,4.College,14.58064516,0.173076923,Cohabiting,TRUE,1
1152,9,0,24,2.High school,10,0.692307692,Cohabiting,TRUE,0
1152,13,1,29,2.High school,17.83870968,4.557692308,Married,TRUE,1
1154,9.35,0,21,2.High school,7,2.346153846,No romantic union,FALSE,0
1154,17.31,0,26,4.College,15.58064516,3.442307692,Married,TRUE,1
1160,7,0,22,2.High school,9.64516129,3.788461538,No romantic union,FALSE,0
1160,30,0,27,2.High school,17.74193548,5.076923077,No romantic union,TRUE,1
1165,8,0,21,2.High school,8.483870968,0.230769231,No romantic union,TRUE,0
1166,2.83,0,30,4.College,17.64516129,2.634615385,No romantic union,TRUE,1
1182,13.25,0,24,2.High school,15.51612903,1.019230769,No romantic union,TRUE,0
1182,16,0,29,3.Some college,23.67741935,0.403846154,Married,FALSE,1
1188,16.15,0,26,4.College,13.41935484,5.057692308,No romantic union,TRUE,1
1194,7,0,20,2.High school,5.258064516,2.634615385,No romantic union,FALSE,0
1194,2.65,0,24,2.High school,9.64516129,0.403846154,Cohabiting,FALSE,1
1206,2.65,0,20,2.High school,5.322580645,0.211538462,No romantic union,FALSE,0
1220,7,0,23,2.High school,3.806451613,1,No romantic union,FALSE,0
1220,7,1,28,2.High school,5.451612903,0.134615385,No romantic union,FALSE,1
1241,10.99,0,23,4.College,4.64516129,0.865384615,No romantic union,TRUE,0
